22:34:01.196 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:01.199 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:01.819 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:01.819 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:04.114 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
22:34:04.114 [kafka-producer-network-thread | demo-producer-1] WARN  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:04.866 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Node 0 disconnected.
22:34:04.867 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-abc-1, groupId=abc] Connection to node 0 (Rishabh/192.168.196.71:9092) could not be established. Node may not be available.
22:34:04.867 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-abc-1, groupId=abc] Error sending fetch request (sessionId=799420910, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
22:34:07.085 [kafka-producer-network-thread | demo-producer-1] INFO  o.apache.kafka.clients.NetworkClient - [Producer clientId=demo-producer-1] Node 0 disconnected.
